,nearby,devices,datetime,location
0,1,iPhone 8 Plus,2022-05-11 16:56:25.542938,Beacon1
1,1,House Keys,2022-05-11 16:56:25.549953,Beacon1
2,1,Wallet,2022-05-11 16:56:25.554631,Beacon1
3,1,Bose SoundLink,2022-05-11 16:56:25.558924,Beacon2
4,1,Passport Wallet,2022-05-11 16:56:25.563495,Beacon3
5,1,iPhone 8 Plus,2022-05-11 16:56:35.682843,Beacon1
6,1,House Keys,2022-05-11 16:56:35.689271,Beacon1
7,1,Wallet,2022-05-11 16:56:35.694855,Beacon1
8,1,Bose SoundLink,2022-05-11 16:56:35.700330,Beacon2
9,1,Passport Wallet,2022-05-11 16:56:35.703917,Beacon3
10,1,iPhone 8 Plus,2022-05-11 16:56:40.761537,Beacon1
11,1,House Keys,2022-05-11 16:56:40.768807,Beacon1
12,1,Wallet,2022-05-11 16:56:40.773878,Beacon1
13,1,Bose SoundLink,2022-05-11 16:56:40.778703,Beacon2
14,1,Passport Wallet,2022-05-11 16:56:40.783059,Beacon3
15,1,iPhone 8 Plus,2022-05-11 16:56:45.839438,Beacon1
16,1,House Keys,2022-05-11 16:56:45.846886,Beacon1
17,1,Wallet,2022-05-11 16:56:45.852385,Beacon1
18,1,Bose SoundLink,2022-05-11 16:56:45.856624,Beacon2
19,1,Passport Wallet,2022-05-11 16:56:45.860479,Beacon3
20,1,iPhone 8 Plus,2022-05-11 16:57:06.117526,Beacon1
21,1,House Keys,2022-05-11 16:57:06.124481,Beacon1
22,1,Wallet,2022-05-11 16:57:06.129769,Beacon1
23,1,Bose SoundLink,2022-05-11 16:57:06.134966,Beacon2
24,1,Passport Wallet,2022-05-11 16:57:06.138971,Beacon3
25,1,iPhone 8 Plus,2022-05-11 16:57:11.195923,Beacon1
26,1,House Keys,2022-05-11 16:57:11.203382,Beacon1
27,1,Wallet,2022-05-11 16:57:11.208866,Beacon1
28,1,Bose SoundLink,2022-05-11 16:57:11.213799,Beacon2
29,1,Passport Wallet,2022-05-11 16:57:11.218568,Beacon3
30,1,iPhone 8 Plus,2022-05-11 16:57:16.274239,Beacon1
31,1,House Keys,2022-05-11 16:57:16.280602,Beacon1
32,1,Wallet,2022-05-11 16:57:16.286434,Beacon1
33,1,Bose SoundLink,2022-05-11 16:57:16.291127,Beacon2
34,1,Passport Wallet,2022-05-11 16:57:16.294985,Beacon3
35,1,iPhone 8 Plus,2022-05-11 16:57:21.352347,Beacon1
36,1,House Keys,2022-05-11 16:57:21.357967,Beacon1
37,1,Wallet,2022-05-11 16:57:21.362805,Beacon1
38,1,Bose SoundLink,2022-05-11 16:57:21.367950,Beacon2
39,1,Passport Wallet,2022-05-11 16:57:21.371821,Beacon3
40,1,iPhone 8 Plus,2022-05-11 16:57:41.636096,Beacon1
41,1,House Keys,2022-05-11 16:57:41.642414,Beacon1
42,1,Wallet,2022-05-11 16:57:41.647811,Beacon1
43,1,Bose SoundLink,2022-05-11 16:57:41.653123,Beacon2
44,1,Passport Wallet,2022-05-11 16:57:41.657389,Beacon3
45,1,iPhone 8 Plus,2022-05-11 16:57:46.715130,Beacon1
46,1,House Keys,2022-05-11 16:57:46.722801,Beacon1
47,1,Wallet,2022-05-11 16:57:46.728186,Beacon1
48,1,Bose SoundLink,2022-05-11 16:57:46.732695,Beacon2
49,1,Passport Wallet,2022-05-11 16:57:46.737359,Beacon3
50,1,iPhone 8 Plus,2022-05-11 16:57:56.856387,Beacon1
51,1,House Keys,2022-05-11 16:57:56.862344,Beacon1
52,1,Wallet,2022-05-11 16:57:56.866853,Beacon1
53,1,Bose SoundLink,2022-05-11 16:57:56.872092,Beacon2
54,1,Passport Wallet,2022-05-11 16:57:56.876107,Beacon3
55,1,iPhone 8 Plus,2022-05-11 16:58:01.932633,Beacon1
56,1,House Keys,2022-05-11 16:58:01.941120,Beacon1
57,1,Wallet,2022-05-11 16:58:01.945781,Beacon1
58,1,Bose SoundLink,2022-05-11 16:58:01.950344,Beacon2
59,1,Passport Wallet,2022-05-11 16:58:01.954921,Beacon3
60,1,iPhone 8 Plus,2022-05-11 16:58:07.013072,Beacon1
61,1,House Keys,2022-05-11 16:58:07.020260,Beacon1
62,1,Wallet,2022-05-11 16:58:07.025662,Beacon1
63,1,Bose SoundLink,2022-05-11 16:58:07.030036,Beacon2
64,1,Passport Wallet,2022-05-11 16:58:07.033506,Beacon3
65,1,iPhone 8 Plus,2022-05-11 16:58:12.091581,Beacon1
